,row_num,gene_symbol
689,7636,SPTBN5
690,7656,IFT172
691,7671,ACTR2
692,7679,SIX3
693,7693,LBX1
694,7701,ARL3
695,7703,KIF20B
696,7718,ZNF365
697,7735,NAB1
698,7771,SEMA7A
699,7787,FGF5
700,7793,BMPR1B
701,7807,SCARB2
702,7820,LEF1
703,7824,SEC24B
704,7826,PPP3CA
705,7840,ETV6
706,7873,LLPH
707,7887,LUM
708,7888,KERA
709,7893,ASCL1
710,7905,FOXN4
711,7945,RB1
712,7973,MDGA2
713,8006,DUOXA1
714,8008,TCF12
715,8032,HMG20A
716,8047,BBS4
717,8068,NTRK3
718,8076,IQGAP1
719,8098,NKD1
720,8107,KATNB1
721,8114,CDH11
722,8168,SSH2
723,8180,AFG3L2
724,8189,ADCYAP1
725,8205,MINK1
726,8211,ARHGDIA
727,8218,CSNK1D
728,8220,TBCD
729,8233,RNF165
730,8238,SMAD4
731,8248,ERBB2
732,8287,SOD1
733,8294,APP
734,8297,AKT1
735,8338,RERE
736,8341,PRDM16
737,8381,PTPRF
738,8387,LMO4
739,8389,BARHL2
740,8402,CELSR2
741,8437,USP21
742,8446,CRABP2
743,8448,ABL2
744,8456,LHX9
745,8477,CERS2
746,8480,SEMA6C
747,8500,DUSP10
748,8509,S100A8
749,8512,SNAPIN
750,8519,EFNA3
751,8558,WNT9A
752,8566,SYT2
753,8569,GDF7
754,8581,WDPCP
755,8588,MEIS1
756,8633,SLC4A10
757,8639,DLX1
758,8664,CPNE9
759,8670,CTDSP1
760,8677,CNTN4
761,8689,GOLGA4
762,8695,PTPRG
763,8721,BOC
764,8723,TMEM108
765,8741,MANF
766,8749,SLIT2
767,8750,EIF2B5
768,8759,EPHA5
769,8783,METTL14
770,8788,SFRP2
771,8811,PIK3R1
772,8849,GABRB2
773,8876,GFRA3
774,8878,DCDC2
775,8887,TNFRSF21
776,8892,ABT1
777,8894,DAAM2
778,8935,DYNLT1
779,8954,FERD3L
780,8955,EGFR
781,8991,NLGN4X
782,8997,SH3KBP1
783,9063,GNRH1
784,9065,DOK2
785,9069,STAR
